SellerG,Method_S,Method_SP,Method_PI,Method_VB,Price
Biggin,15,3,2,1,20071500
Nelson,16,4,4,8,27060500
Jellis,10,2,0,1,12385000
Dingle,1,0,0,0,542000
Purplebricks,0,1,0,0,481000
Greg,0,2,0,0,867000
LITTLE,1,0,0,0,1176500
Collins,3,0,0,0,2997000
Kay,0,0,1,0,1330000
Beller,1,0,0,0,900000
Marshall,1,0,0,0,1315000
hockingstuart,1,0,0,0,423500
Brad,4,0,1,0,3280000
Maddison,1,0,0,0,600000
Barry,14,3,3,2,15111500
Airport,1,0,0,0,1035000
Considine,1,0,0,0,785000
Rendina,1,0,1,0,1610000
Ray,1,0,1,0,1130000
Propertyau,0,0,1,0,755000
McDonald,2,0,0,0,1581500
Frank,0,1,0,0,490000
Prof.,1,0,0,0,765000
Harcourts,1,0,0,0,900000
